id,symbol,asset_name,asset_type,close_price,open_price,high_price,low_price,volume,timestamp
4791,SOL/USDT,SOL/USDT,Kripto,9.99,9.97,10.09,9.69,2287512.63,2023-01-01
3988,XRP/USDT,XRP/USDT,Kripto,0.3387,0.3389,0.34,0.3354,102026821.0,2023-01-01
1648,BTC/USDT,BTC/USDT,Kripto,16616.75,16541.77,16628.0,16499.01,96925.41374,2023-01-01
3185,ETH/USDT,ETH/USDT,Kripto,1200.34,1196.13,1204.67,1190.57,117762.0685,2023-01-01
1649,BTC/USDT,BTC/USDT,Kripto,16672.87,16617.17,16799.23,16548.7,121888.57191,2023-01-02
4792,SOL/USDT,SOL/USDT,Kripto,11.28,9.99,12.0,9.81,7628264.93,2023-01-02
3186,ETH/USDT,ETH/USDT,Kripto,1214.0,1200.33,1224.29,1193.0,252794.14,2023-01-02
1,AKBNK.IS,AKBNK.IS,BIST,17.127585554141923,17.405799865722656,17.614460599408208,17.10150234057319,146707509.0,2023-01-02
3989,XRP/USDT,XRP/USDT,Kripto,0.3482,0.3386,0.3555,0.3,647520487.0,2023-01-02
550,GARAN.IS,GARAN.IS,BIST,26.993884744497834,27.207136154174805,27.5270098791741,26.780635029578942,34373499.0,2023-01-02
1099,THYAO.IS,THYAO.IS,BIST,142.39999389648438,146.8000030517578,147.10000610351562,142.10000610351562,60745183.0,2023-01-02
2,AKBNK.IS,AKBNK.IS,BIST,17.56229586808685,17.02325439453125,17.614460637047678,16.9884784346534,167143625.0,2023-01-03
4793,SOL/USDT,SOL/USDT,Kripto,13.37,11.28,13.91,11.0,14986491.36,2023-01-03
1650,BTC/USDT,BTC/USDT,Kripto,16675.18,16672.78,16778.4,16605.28,159541.53733,2023-01-03
1100,THYAO.IS,THYAO.IS,BIST,148.3000030517578,147.39999389648438,150.39999389648438,146.39999389648438,73564352.0,2023-01-03
3990,XRP/USDT,XRP/USDT,Kripto,0.3436,0.3482,0.352,0.3395,346410334.0,2023-01-03
3187,ETH/USDT,ETH/USDT,Kripto,1214.55,1213.99,1219.89,1204.93,205519.4944,2023-01-03
551,GARAN.IS,GARAN.IS,BIST,27.402616168515486,26.49630355834961,27.455928176537544,26.354137073785335,33494882.0,2023-01-03
3,AKBNK.IS,AKBNK.IS,BIST,17.066723359701076,17.0841121673584,17.45796324055098,16.805897877993118,200222323.0,2023-01-04
4794,SOL/USDT,SOL/USDT,Kripto,13.43,13.37,14.24,12.83,12612735.49,2023-01-04
3991,XRP/USDT,XRP/USDT,Kripto,0.3472,0.3436,0.3605,0.339,372672796.0,2023-01-04
552,GARAN.IS,GARAN.IS,BIST,26.585157223145142,26.656240463256836,27.04719913125021,26.371907502810064,39106174.0,2023-01-04
1101,THYAO.IS,THYAO.IS,BIST,147.89999389648438,144.5,148.1999969482422,143.60000610351562,50055440.0,2023-01-04
3188,ETH/USDT,ETH/USDT,Kripto,1256.9,1214.56,1272.6,1212.71,457799.6648,2023-01-04
1651,BTC/USDT,BTC/USDT,Kripto,16850.36,16675.65,16991.87,16652.66,220362.18862,2023-01-04
3992,XRP/USDT,XRP/USDT,Kripto,0.338,0.3471,0.3487,0.3333,265529668.0,2023-01-05
4,AKBNK.IS,AKBNK.IS,BIST,17.29277381249775,16.579849243164062,17.35363298427676,16.432047686720146,206043002.0,2023-01-05
