epoch,loss,val_loss
0,0.023122292011976242,0.08541350811719894
1,0.02185666561126709,0.08234618604183197
2,0.02119622193276882,0.08123921602964401
3,0.020758019760251045,0.080827996134758
4,0.020918525755405426,0.07992060482501984
5,0.02052554488182068,0.07861718535423279
6,0.020179508253932,0.07745197415351868
7,0.02022436633706093,0.07730225473642349
8,0.020085465162992477,0.08259277045726776
9,0.020066751167178154,0.07730404287576675
10,0.01960734836757183,0.07657784968614578
11,0.01994258351624012,0.08237677067518234
12,0.019749067723751068,0.07776929438114166
13,0.01994168944656849,0.07576175779104233
14,0.01963314414024353,0.07853436470031738
15,0.01967560686171055,0.07583460956811905
16,0.019338272511959076,0.07552086561918259
17,0.019253971055150032,0.07491312175989151
18,0.01947682537138462,0.07559834420681
19,0.01923447661101818,0.07556869834661484
20,0.020273542031645775,0.0794815868139267
21,0.019865572452545166,0.0777444839477539
22,0.01953028328716755,0.07494856417179108
23,0.01915501430630684,0.07591293752193451
24,0.019124547019600868,0.0765397772192955
25,0.019202405586838722,0.07567939907312393
26,0.01910802721977234,0.07531162351369858
27,0.01890566013753414,0.07589202374219894
0,0.8263617753982544,0.12942086160182953
1,0.28708013892173767,0.08758530765771866
2,0.14214681088924408,0.09232775866985321
3,0.07910456508398056,0.08723357319831848
4,0.052488505840301514,0.08764611184597015
5,0.03616722300648689,0.08492353558540344
6,0.029660675674676895,0.08371809124946594
7,0.025257883593440056,0.08418229222297668
8,0.023049939423799515,0.08182724565267563
9,0.022140756249427795,0.08097106218338013
10,0.021472465246915817,0.08298614621162415
11,0.021391134709119797,0.07868438959121704
12,0.02078234776854515,0.07771117240190506
13,0.020693428814411163,0.07967078685760498
14,0.020497869700193405,0.07671037316322327
15,0.020471129566431046,0.0776943564414978
16,0.020081613212823868,0.2145668864250183
17,0.020585136488080025,0.08070264756679535
18,0.020158514380455017,0.08012993633747101
19,0.019988292828202248,0.07587537169456482
20,0.02030792646110058,0.09236264228820801
21,0.020380593836307526,0.07417156547307968
22,0.020531047135591507,0.08225227147340775
23,0.01955857127904892,0.07537270337343216
24,0.02005319483578205,0.07659129053354263
25,0.019586192443966866,0.0752830058336258
26,0.020017122849822044,0.07754407823085785
27,0.01951383426785469,0.07807382196187973
28,0.01934812031686306,0.07809291779994965
29,0.019188890233635902,0.07788504660129547
30,0.019420206546783447,0.07734058052301407
31,0.01944798231124878,0.07390062510967255
32,0.0194394551217556,0.08315065503120422
33,0.01966875232756138,0.07591589540243149
34,0.019212761893868446,0.07668928056955338
35,0.01867596246302128,0.08515679836273193
36,0.01889028400182724,0.08447380363941193
37,0.01867029257118702,0.09507082402706146
38,0.018611691892147064,0.09594368189573288
39,0.0188005194067955,0.1465606689453125
40,0.01810501702129841,0.3137550354003906
41,0.018250882625579834,0.08654503524303436
